velocidad_bala,distancia_bala1,bala2_y,distancia_bala2,mov_derecha,accion
-5,695,3,0,0,0
-5,690,6,0,0,0
-5,685,9,0,0,0
-5,680,12,0,0,0
-5,675,15,0,0,0
-5,670,18,0,0,0
-5,665,21,0,0,0
-5,660,24,0,0,0
-5,655,27,0,0,0
-5,650,30,0,0,0
-5,645,33,0,0,0
-5,640,36,0,0,0
-5,635,39,0,0,0
-5,630,42,0,0,0
-5,625,45,0,0,0
-5,620,48,0,0,0
-5,615,51,0,0,0
-5,610,54,0,0,0
-5,605,57,0,0,0
-5,600,60,0,0,0
-5,595,63,0,0,0
-5,590,66,0,0,0
-5,585,69,0,0,0
-5,580,72,0,0,0
-5,575,75,0,0,0
-5,570,78,0,0,0
-5,565,81,0,0,0
-5,560,84,0,0,0
-5,555,87,0,0,0
-5,550,90,0,0,0
-5,545,93,0,0,0
-5,540,96,0,0,0
-5,535,99,0,0,0
-5,530,102,0,0,0
-5,525,105,0,0,0
-5,520,108,0,0,0
-5,515,111,0,0,0
-5,510,114,0,0,0
-5,505,117,0,0,0
-5,500,120,0,0,0
-5,495,123,0,0,0
-5,490,126,0,0,0
-5,485,129,0,0,0
-5,480,132,0,0,0
-5,475,135,0,0,0
-5,470,138,0,0,0
-5,465,141,0,0,0
-5,460,144,0,0,0
-5,455,147,0,0,0
-5,450,150,0,0,0
-5,445,153,0,0,0
-5,440,156,0,0,0
-5,435,159,0,0,0
-5,430,162,0,0,0
-5,425,165,0,0,0
-5,420,168,0,0,0
-5,415,171,0,0,0
-5,410,174,0,0,0
-5,405,177,0,0,0
-5,400,180,0,0,0
-5,395,183,0,0,0
-5,390,186,0,0,0
-5,385,189,0,0,0
-5,380,192,0,0,0
-5,375,195,0,0,0
-5,370,198,0,0,0
-5,365,201,0,0,0
-5,360,204,0,0,0
-5,355,207,0,0,0
-5,350,210,0,0,0
-5,345,213,0,0,0
-5,340,216,0,0,0
-5,335,219,0,0,0
-5,330,222,0,0,0
-5,325,225,0,0,0
-5,320,228,0,0,0
-5,315,231,0,0,0
-5,310,234,0,0,0
-5,305,237,0,0,0
-5,300,240,0,0,0
-5,295,243,0,0,0
-5,290,246,0,0,0
-5,285,249,0,0,0
-5,280,252,0,0,0
-5,275,255,0,0,0
-5,267,258,3,1,2
-5,259,261,6,1,2
-5,251,264,9,1,2
-5,243,267,12,1,2
-5,235,270,15,1,2
-5,227,273,18,1,2
-5,219,276,21,1,2
-5,211,279,24,1,2
-5,203,282,27,1,2
-5,195,285,30,1,2
-5,190,288,30,1,2
-5,185,291,30,1,2
-5,180,294,30,1,2
-5,175,297,30,1,2
-5,170,300,30,1,2
-5,165,303,30,1,2
-5,160,306,30,1,2
-5,155,309,30,1,2
-5,150,312,30,1,2
-5,145,315,30,1,2
-5,140,318,30,1,2
-5,135,321,30,1,2
-5,130,324,30,1,2
-5,125,327,30,1,2
-5,120,330,30,1,2
-5,115,333,30,1,2
-5,110,336,30,1,2
-5,105,339,30,1,2
-5,103,342,27,0,0
-5,101,345,24,0,0
-5,99,348,21,0,0
-5,97,351,18,0,0
-5,95,354,15,0,0
-5,93,357,12,0,0
-5,91,360,9,0,0
-5,89,363,6,0,0
-5,87,366,3,0,0
-5,85,369,0,0,0
-5,80,372,0,0,0
-5,75,375,0,0,0
-5,70,378,0,0,0
-5,65,381,0,0,0
-5,60,384,0,0,0
-5,55,387,0,0,0
-5,50,390,0,0,0
-5,45,393,0,0,0
-5,40,396,0,0,1
-5,35,399,0,0,1
-5,30,0,0,0,1
-5,25,3,0,0,1
-5,20,6,0,0,1
-5,15,9,0,0,1
-5,10,12,0,0,1
-5,5,15,0,0,1
-5,0,18,0,0,1
-5,5,21,0,0,1
-5,10,24,0,0,1
-5,15,27,0,0,1
-5,20,30,0,0,1
-5,25,33,0,0,1
-5,30,36,0,0,1
-5,35,39,0,0,1
-5,40,42,0,0,1
-5,45,45,0,0,1
-5,50,48,0,0,1
-7,700,51,0,0,1
-7,693,54,0,0,1
-7,686,57,0,0,1
-7,679,60,0,0,1
-7,672,63,0,0,1
-7,665,66,0,0,1
-7,658,69,0,0,1
-7,651,72,0,0,1
-7,644,75,0,0,1
-7,637,78,0,0,1
-7,630,81,0,0,1
-7,623,84,0,0,0
-7,616,87,0,0,0
-7,609,90,0,0,0
-7,602,93,0,0,0
-7,595,96,0,0,0
-7,588,99,0,0,0
-7,581,102,0,0,0
-7,574,105,0,0,0
-7,567,108,0,0,0
-7,560,111,0,0,0
-7,553,114,0,0,0
-7,546,117,0,0,0
-7,539,120,0,0,0
-7,532,123,0,0,0
-7,525,126,0,0,0
-7,518,129,0,0,0
-7,511,132,0,0,0
-7,504,135,0,0,0
-7,497,138,0,0,0
-7,490,141,0,0,0
-7,483,144,0,0,0
-7,476,147,0,0,0
-7,469,150,0,0,0
-7,462,153,0,0,0
-7,455,156,0,0,0
-7,448,159,0,0,0
-7,441,162,0,0,0
